id,pose_name,type_of_practice,variation,position,difficulty,props_required,body_focus,benefits,synonyms,instructions,context
bec5980f,Fish Pose,Vinyasa,No Variation,Lying Down,Beginner,Not Required,Core,Builds strength,"Fish Pose Alternative, Fish Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Fish Pose sequences or routines focusing on flexibility.
e522ee21,Warrior II,Power,With Bolster,Mixed,Advanced,Block,Balance,Increases energy,"Warrior II Alternative, Warrior II Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for balance and is often practiced in power sessions.",Best used in Warrior II sequences or routines focusing on flexibility.
53ab85db,Fish Pose,Vinyasa,With Strap,Standing,Advanced,Not Required,Back,Relieves stress,"Fish Pose Alternative, Fish Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Fish Pose sequences or routines focusing on flexibility.
83c099b8,Half Pigeon Pose,Ashtanga,Standing,Mixed,Intermediate,Blanket,Strength,Improves posture,"Half Pigeon Pose Alternative, Half Pigeon Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for strength and is often practiced in ashtanga sessions.",Best used in Half Pigeon Pose sequences or routines focusing on flexibility.
88c36c85,Bridge Pose,Power,With Strap,Standing,Intermediate,Bolster,Back,Increases energy,"Bridge Pose Alternative, Bridge Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in power sessions.",Best used in Bridge Pose sequences or routines focusing on flexibility.
b983293a,Seated Forward Bend,Ashtanga,No Variation,Standing,Advanced,Not Required,Back,Relieves stress,"Seated Forward Bend Alternative, Seated Forward Bend Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Seated Forward Bend sequences or routines focusing on flexibility.
551ede1e,Child's Pose,Ashtanga,Standing,Lying Down,Advanced,Block,Back,Increases energy,"Child's Pose Alternative, Child's Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Child's Pose sequences or routines focusing on flexibility.
47e03b56,Eagle Pose,Yin,Standing,Sitting,Advanced,Chair,Flexibility,Increases energy,"Eagle Pose Alternative, Eagle Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in yin sessions.",Best used in Eagle Pose sequences or routines focusing on flexibility.
13e5ca79,Warrior II,Yin,Twisted,Sitting,Advanced,Chair,Balance,Relieves stress,"Warrior II Alternative, Warrior II Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for balance and is often practiced in yin sessions.",Best used in Warrior II sequences or routines focusing on flexibility.
4619e728,Low Lunge,Ashtanga,With Chair,Mixed,Advanced,Not Required,Flexibility,Improves balance,"Low Lunge Alternative, Low Lunge Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for flexibility and is often practiced in ashtanga sessions.",Best used in Low Lunge sequences or routines focusing on flexibility.
be97bbf1,Triangle Pose,Vinyasa,With Bolster,Lying Down,Intermediate,Block,Core,Improves posture,"Triangle Pose Alternative, Triangle Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
92dd6316,Warrior I,Power,With Chair,Lying Down,Intermediate,Strap,Flexibility,Increases energy,"Warrior I Alternative, Warrior I Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in power sessions.",Best used in Warrior I sequences or routines focusing on flexibility.
c6a20421,Chair Pose,Yin,Standing,Sitting,Advanced,Chair,Flexibility,Improves posture,"Chair Pose Alternative, Chair Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for flexibility and is often practiced in yin sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
9f6121e9,Mountain Pose,Vinyasa,With Chair,Mixed,Intermediate,Strap,Balance,Builds strength,"Mountain Pose Alternative, Mountain Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for balance and is often practiced in vinyasa sessions.",Best used in Mountain Pose sequences or routines focusing on flexibility.
90d6560c,Crow Pose,Vinyasa,Reclining,Mixed,Intermediate,Bolster,Strength,Relieves stress,"Crow Pose Alternative, Crow Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for strength and is often practiced in vinyasa sessions.",Best used in Crow Pose sequences or routines focusing on flexibility.
a0bc6a56,Crow Pose,Vinyasa,No Variation,Lying Down,Intermediate,Bolster,Core,Increases energy,"Crow Pose Alternative, Crow Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Crow Pose sequences or routines focusing on flexibility.
3a711556,Tree Pose,Ashtanga,With Chair,Mixed,Intermediate,Blanket,Back,Improves balance,"Tree Pose Alternative, Tree Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Tree Pose sequences or routines focusing on flexibility.
1558d766,Chair Pose,Restorative,No Variation,Sitting,Intermediate,Bolster,Strength,Increases energy,"Chair Pose Alternative, Chair Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for strength and is often practiced in restorative sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
5d0a67a0,Boat Pose,Ashtanga,Twisted,Mixed,Advanced,Strap,Flexibility,Increases energy,"Boat Pose Alternative, Boat Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for flexibility and is often practiced in ashtanga sessions.",Best used in Boat Pose sequences or routines focusing on flexibility.
982d64f3,Upward Dog,Power,No Variation,Lying Down,Advanced,Blanket,Back,Relieves stress,"Upward Dog Alternative, Upward Dog Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in power sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
d30293a9,Mountain Pose,Vinyasa,With Bolster,Standing,Intermediate,Blanket,Back,Improves balance,"Mountain Pose Alternative, Mountain Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Mountain Pose sequences or routines focusing on flexibility.
8d629ce5,Half Pigeon Pose,Restorative,Twisted,Mixed,Beginner,Not Required,Flexibility,Improves balance,"Half Pigeon Pose Alternative, Half Pigeon Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in restorative sessions.",Best used in Half Pigeon Pose sequences or routines focusing on flexibility.
d1d86d31,Seated Forward Bend,Power,No Variation,Lying Down,Advanced,Strap,Flexibility,Improves balance,"Seated Forward Bend Alternative, Seated Forward Bend Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for flexibility and is often practiced in power sessions.",Best used in Seated Forward Bend sequences or routines focusing on flexibility.
a819f1b2,Chair Pose,Power,No Variation,Mixed,Beginner,Blanket,Balance,Improves balance,"Chair Pose Alternative, Chair Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for balance and is often practiced in power sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
6e2c56da,Downward Dog,Yin,With Bolster,Mixed,Advanced,Blanket,Core,Improves balance,"Downward Dog Alternative, Downward Dog Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for core and is often practiced in yin sessions.",Best used in Downward Dog sequences or routines focusing on flexibility.
9324dbe1,Bridge Pose,Vinyasa,With Block,Lying Down,Intermediate,Strap,Core,Builds strength,"Bridge Pose Alternative, Bridge Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Bridge Pose sequences or routines focusing on flexibility.
2874f1a5,Boat Pose,Vinyasa,With Chair,Mixed,Advanced,Bolster,Flexibility,Increases energy,"Boat Pose Alternative, Boat Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for flexibility and is often practiced in vinyasa sessions.",Best used in Boat Pose sequences or routines focusing on flexibility.
9e58becc,Chair Pose,Vinyasa,Reclining,Standing,Beginner,Block,Balance,Increases energy,"Chair Pose Alternative, Chair Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for balance and is often practiced in vinyasa sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
2126a387,Garland Pose,Yin,No Variation,Lying Down,Intermediate,Blanket,Core,Improves balance,"Garland Pose Alternative, Garland Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for core and is often practiced in yin sessions.",Best used in Garland Pose sequences or routines focusing on flexibility.
fa589647,Boat Pose,Yin,With Strap,Lying Down,Beginner,Strap,Strength,Relieves stress,"Boat Pose Alternative, Boat Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for strength and is often practiced in yin sessions.",Best used in Boat Pose sequences or routines focusing on flexibility.
0395f36e,Mountain Pose,Vinyasa,With Block,Sitting,Advanced,Not Required,Core,Relieves stress,"Mountain Pose Alternative, Mountain Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Mountain Pose sequences or routines focusing on flexibility.
9d438ed4,Cobra Pose,Vinyasa,Standing,Sitting,Beginner,Bolster,Back,Relieves stress,"Cobra Pose Alternative, Cobra Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Cobra Pose sequences or routines focusing on flexibility.
9834d3b9,Camel Pose,Power,With Block,Lying Down,Beginner,Chair,Flexibility,Improves posture,"Camel Pose Alternative, Camel Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for flexibility and is often practiced in power sessions.",Best used in Camel Pose sequences or routines focusing on flexibility.
f0e7376f,Garland Pose,Power,With Bolster,Standing,Beginner,Block,Balance,Increases energy,"Garland Pose Alternative, Garland Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for balance and is often practiced in power sessions.",Best used in Garland Pose sequences or routines focusing on flexibility.
7bcd67da,Upward Dog,Power,With Bolster,Lying Down,Beginner,Strap,Balance,Builds strength,"Upward Dog Alternative, Upward Dog Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for balance and is often practiced in power sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
38e4d417,Boat Pose,Yin,No Variation,Mixed,Intermediate,Strap,Strength,Improves balance,"Boat Pose Alternative, Boat Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for strength and is often practiced in yin sessions.",Best used in Boat Pose sequences or routines focusing on flexibility.
9e5362f0,Mountain Pose,Vinyasa,Twisted,Mixed,Intermediate,Chair,Balance,Improves balance,"Mountain Pose Alternative, Mountain Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for balance and is often practiced in vinyasa sessions.",Best used in Mountain Pose sequences or routines focusing on flexibility.
6d6cc2ed,Bridge Pose,Vinyasa,Twisted,Mixed,Beginner,Chair,Balance,Improves balance,"Bridge Pose Alternative, Bridge Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for balance and is often practiced in vinyasa sessions.",Best used in Bridge Pose sequences or routines focusing on flexibility.
e4bfddd1,Chair Pose,Power,No Variation,Mixed,Intermediate,Not Required,Strength,Increases energy,"Chair Pose Alternative, Chair Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for strength and is often practiced in power sessions.",Best used in Chair Pose sequences or routines focusing on flexibility.
375d3e3a,Triangle Pose,Power,Twisted,Standing,Advanced,Blanket,Flexibility,Relieves stress,"Triangle Pose Alternative, Triangle Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for flexibility and is often practiced in power sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
8d2c2454,Eagle Pose,Vinyasa,With Block,Lying Down,Advanced,Chair,Strength,Increases energy,"Eagle Pose Alternative, Eagle Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for strength and is often practiced in vinyasa sessions.",Best used in Eagle Pose sequences or routines focusing on flexibility.
2425d5e3,Upward Dog,Yin,Seated,Mixed,Advanced,Block,Flexibility,Improves balance,"Upward Dog Alternative, Upward Dog Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for flexibility and is often practiced in yin sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
d96077a7,Downward Dog,Restorative,With Chair,Lying Down,Beginner,Chair,Flexibility,Improves balance,"Downward Dog Alternative, Downward Dog Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for flexibility and is often practiced in restorative sessions.",Best used in Downward Dog sequences or routines focusing on flexibility.
08293792,Camel Pose,Restorative,Seated,Mixed,Advanced,Block,Flexibility,Increases energy,"Camel Pose Alternative, Camel Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for flexibility and is often practiced in restorative sessions.",Best used in Camel Pose sequences or routines focusing on flexibility.
14cce0d5,Triangle Pose,Restorative,No Variation,Standing,Intermediate,Strap,Balance,Builds strength,"Triangle Pose Alternative, Triangle Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for balance and is often practiced in restorative sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
2443bb20,Triangle Pose,Restorative,With Chair,Mixed,Advanced,Not Required,Balance,Increases energy,"Triangle Pose Alternative, Triangle Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for balance and is often practiced in restorative sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
d8d7d683,Child's Pose,Ashtanga,Seated,Mixed,Advanced,Strap,Balance,Increases energy,"Child's Pose Alternative, Child's Pose Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for balance and is often practiced in ashtanga sessions.",Best used in Child's Pose sequences or routines focusing on flexibility.
5aabb133,Upward Dog,Vinyasa,With Chair,Lying Down,Intermediate,Chair,Core,Relieves stress,"Upward Dog Alternative, Upward Dog Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for core and is often practiced in vinyasa sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
e5d91db8,Cobra Pose,Yin,With Bolster,Mixed,Intermediate,Not Required,Back,Improves balance,"Cobra Pose Alternative, Cobra Pose Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for back and is often practiced in yin sessions.",Best used in Cobra Pose sequences or routines focusing on flexibility.
7cb800a6,Upward Dog,Vinyasa,Standing,Mixed,Advanced,Block,Strength,Improves posture,"Upward Dog Alternative, Upward Dog Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for strength and is often practiced in vinyasa sessions.",Best used in Upward Dog sequences or routines focusing on flexibility.
87d66b9a,Downward Dog,Power,No Variation,Standing,Advanced,Strap,Core,Relieves stress,"Downward Dog Alternative, Downward Dog Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for core and is often practiced in power sessions.",Best used in Downward Dog sequences or routines focusing on flexibility.
41923c56,Warrior I,Ashtanga,Twisted,Standing,Beginner,Strap,Strength,Relieves stress,"Warrior I Alternative, Warrior I Variation","Stand tall, shift your weight onto one leg, and place the sole of your other foot on your inner thigh. Bring your palms together at your chest, and focus on a point to maintain balance. This pose is ideal for strength and is often practiced in ashtanga sessions.",Best used in Warrior I sequences or routines focusing on flexibility.
58ae1aa9,Seated Forward Bend,Restorative,With Bolster,Mixed,Intermediate,Strap,Back,Improves posture,"Seated Forward Bend Alternative, Seated Forward Bend Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for back and is often practiced in restorative sessions.",Best used in Seated Forward Bend sequences or routines focusing on flexibility.
5ae5e843,Boat Pose,Yin,No Variation,Sitting,Beginner,Chair,Strength,Builds strength,"Boat Pose Alternative, Boat Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for strength and is often practiced in yin sessions.",Best used in Boat Pose sequences or routines focusing on flexibility.
baa7cba0,Tree Pose,Power,With Strap,Standing,Beginner,Strap,Balance,Relieves stress,"Tree Pose Alternative, Tree Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for balance and is often practiced in power sessions.",Best used in Tree Pose sequences or routines focusing on flexibility.
35fb8a68,Low Lunge,Restorative,No Variation,Sitting,Intermediate,Chair,Strength,Builds strength,"Low Lunge Alternative, Low Lunge Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for strength and is often practiced in restorative sessions.",Best used in Low Lunge sequences or routines focusing on flexibility.
12b6631f,Triangle Pose,Restorative,Standing,Standing,Intermediate,Not Required,Strength,Builds strength,"Triangle Pose Alternative, Triangle Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for strength and is often practiced in restorative sessions.",Best used in Triangle Pose sequences or routines focusing on flexibility.
91e0e8da,Bridge Pose,Ashtanga,No Variation,Lying Down,Intermediate,Strap,Back,Improves balance,"Bridge Pose Alternative, Bridge Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for back and is often practiced in ashtanga sessions.",Best used in Bridge Pose sequences or routines focusing on flexibility.
84d31e38,Low Lunge,Vinyasa,Seated,Mixed,Advanced,Chair,Back,Builds strength,"Low Lunge Alternative, Low Lunge Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Low Lunge sequences or routines focusing on flexibility.
e0e68613,Eagle Pose,Vinyasa,No Variation,Lying Down,Beginner,Block,Back,Improves balance,"Eagle Pose Alternative, Eagle Pose Variation","Kneel on the mat, then sit back on your heels. Stretch your arms forward, lowering your chest to the mat. Breathe deeply as you relax into the pose. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Eagle Pose sequences or routines focusing on flexibility.
2b3e9a7f,Crow Pose,Vinyasa,Seated,Standing,Beginner,Not Required,Back,Relieves stress,"Crow Pose Alternative, Crow Pose Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for back and is often practiced in vinyasa sessions.",Best used in Crow Pose sequences or routines focusing on flexibility.
71d25c82,Low Lunge,Ashtanga,With Bolster,Lying Down,Advanced,Chair,Strength,Improves balance,"Low Lunge Alternative, Low Lunge Variation","Lie flat on your back with arms at your sides. Close your eyes, relax, and breathe deeply. Focus on grounding your body into the mat. This pose is ideal for strength and is often practiced in ashtanga sessions.",Best used in Low Lunge sequences or routines focusing on flexibility.
bb27551e,Child's Pose,Vinyasa,No Variation,Lying Down,Beginner,Block,Strength,Improves balance,"Child's Pose Alternative, Child's Pose Variation","Lie on your back, bend your knees, and lift your hips toward the ceiling. Keep your feet planted firmly on the mat for stability. This pose is ideal for strength and is often practiced in vinyasa sessions.",Best used in Child's Pose sequences or routines focusing on flexibility.
31c1ed0e,Warrior II,Restorative,No Variation,Standing,Advanced,Block,Strength,Increases energy,"Warrior II Alternative, Warrior II Variation","Stand with your feet wide apart, and turn one foot out to a 90-degree angle. Bend the corresponding knee and stretch your arms wide, creating a strong, grounded stance. This pose is ideal for strength and is often practiced in restorative sessions.",Best used in Warrior II sequences or routines focusing on flexibility.
